geometry.coordinates,geometry.type,id,properties.alert,properties.cdi,properties.code,properties.detail,properties.dmin,properties.felt,properties.gap,properties.ids,properties.mag,properties.magType,properties.mmi,properties.net,properties.nst,properties.place,properties.rms,properties.sig,properties.sources,properties.status,properties.time,properties.title,properties.tsunami,properties.type,properties.types,properties.tz,properties.updated,properties.url,type
"[-118.3343333, 35.9783333, 0.71]",Point,ci37520728,,,37520728,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci37520728.geojson,0.1742,,47.0,",ci37520728,",1.56,ml,,ci,23.0,"26km NNE of Kernville, California",0.2,37,",ci,",automatic,1454680762950,"M 1.6 - 26km NNE of Kernville, California",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454680980734,http://earthquake.usgs.gov/earthquakes/eventpage/ci37520728,Feature
"[168.2519, -18.768, 41.12]",Point,us20004y2i,,1.0,20004y2i,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us20004y2i.geojson,2.214,0.0,79.0,",us20004y2i,",4.9,mb,,us,,"114km S of Port-Vila, Vanuatu",0.68,369,",us,",reviewed,1454679732040,"M 4.9 - 114km S of Port-Vila, Vanuatu",0,earthquake,",cap,dyfi,geoserve,nearby-cities,origin,phase-data,tectonic-summary,",660,1454680998324,http://earthquake.usgs.gov/earthquakes/eventpage/us20004y2i,Feature
"[-119.8173, 39.436, 9.9]",Point,nn00530084,,,00530084,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00530084.geojson,0.048,,83.22,",nn00530084,",0.4,ml,,nn,18.0,"10km S of Reno, Nevada",0.118,2,",nn,",reviewed,1454679463979,"M 0.4 - 10km S of Reno, Nevada",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454684476053,http://earthquake.usgs.gov/earthquakes/eventpage/nn00530084,Feature
"[-151.7455, 60.3314, 93.4]",Point,ak12703103,,,12703103,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12703103.geojson,,,,",ak12703103,",2.0,ml,,ak,,"24km W of Cohoe, Alaska",0.64,62,",ak,",automatic,1454679196000,"M 2.0 - 24km W of Cohoe, Alaska",0,earthquake,",general-link,geoserve,nearby-cities,origin,tectonic-summary,",-600,1454682120156,http://earthquake.usgs.gov/earthquakes/eventpage/ak12703103,Feature
"[-97.2654, 36.1797, 4.81]",Point,us20004y2b,,1.0,20004y2b,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us20004y2b.geojson,0.297,0.0,35.0,",us20004y2b,",2.6,mb_lg,,us,,"12km S of Perry, Oklahoma",0.55,104,",us,",reviewed,1454678503640,"M 2.6 - 12km S of Perry, Oklahoma",0,earthquake,",cap,dyfi,general-link,geoserve,nearby-cities,origin,phase-data,tectonic-summary,",-360,1454679105906,http://earthquake.usgs.gov/earthquakes/eventpage/us20004y2b,Feature
"[-120.3253326, 35.7661667, 8.03]",Point,nc72588906,,,72588906,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588906.geojson,0.01369,,69.0,",nc72588906,",1.68,md,,nc,18.0,"13km NNE of Shandon, California",0.08,43,",nc,",automatic,1454676987370,"M 1.7 - 13km NNE of Shandon, California",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454686153742,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588906,Feature
"[-153.1075, 59.8035, 97.3]",Point,ak12701568,,1.0,12701568,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12701568.geojson,,0.0,,",ak12701568,",2.7,ml,,ak,,"71km W of Anchor Point, Alaska",0.9,112,",ak,",automatic,1454676792000,"M 2.7 - 71km W of Anchor Point, Alaska",0,earthquake,",dyfi,general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1454678579528,http://earthquake.usgs.gov/earthquakes/eventpage/ak12701568,Feature
"[-122.7283325, 38.7683334, 0.52]",Point,nc72588901,,,72588901,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588901.geojson,0.009973,,112.0,",nc72588901,",0.82,md,,nc,8.0,"2km ESE of The Geysers, California",0.04,10,",nc,",automatic,1454676517810,"M 0.8 - 2km ESE of The Geysers, California",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454685125723,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588901,Feature
"[-116.1573333, 33.7401667, 1.63]",Point,ci37520720,,,37520720,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci37520720.geojson,0.07776,,58.0,",ci37520720,",1.99,ml,,ci,54.0,"6km ENE of Indio, California",0.2,61,",ci,",automatic,1454676191120,"M 2.0 - 6km ENE of Indio, California",0,earthquake,",focal-mechanism,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,tectonic-summary,",-480,1454676837850,http://earthquake.usgs.gov/earthquakes/eventpage/ci37520720,Feature
"[-146.5407, 60.7576, 18]",Point,ak12701565,,,12701565,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12701565.geojson,,,,",ak12701565,",2.1,ml,,ak,,"42km SSW of Valdez, Alaska",0.77,68,",ak,",automatic,1454676023000,"M 2.1 - 42km SSW of Valdez, Alaska",0,earthquake,",general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1454678548589,http://earthquake.usgs.gov/earthquakes/eventpage/ak12701565,Feature
"[-119.7558333, 34.5078333, 1.15]",Point,ci37520712,,,37520712,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci37520712.geojson,0.05849,,92.0,",ci37520712,",1.63,ml,,ci,13.0,"10km NE of Goleta, California",0.24,41,",ci,",automatic,1454675325530,"M 1.6 - 10km NE of Goleta, California",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454675561814,http://earthquake.usgs.gov/earthquakes/eventpage/ci37520712,Feature
"[-118.857666, 37.5719986, 5.4]",Point,nc72588876,,1.0,72588876,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588876.geojson,0.02896,0.0,106.0,",nc72588876,",1.73,md,,nc,26.0,"13km SE of Mammoth Lakes, California",0.05,46,",nc,",automatic,1454674128800,"M 1.7 - 13km SE of Mammoth Lakes, California",0,earthquake,",dyfi,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454681824587,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588876,Feature
"[-97.5485, 36.3186, 4.78]",Point,us20004y16,,2.0,20004y16,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us20004y16.geojson,0.22,1.0,61.0,",us20004y16,",2.9,mb_lg,,us,,"23km W of Perry, Oklahoma",0.46,130,",us,",reviewed,1454672330140,"M 2.9 - 23km W of Perry, Oklahoma",0,earthquake,",cap,dyfi,general-link,geoserve,nearby-cities,origin,phase-data,tectonic-summary,",-360,1454673317119,http://earthquake.usgs.gov/earthquakes/eventpage/us20004y16,Feature
"[-122.8481674, 38.822834, 1.9]",Point,nc72588871,,,72588871,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588871.geojson,0.01027,,113.0,",nc72588871,",0.46,md,,nc,11.0,"9km WNW of The Geysers, California",0.02,3,",nc,",automatic,1454672137210,"M 0.5 - 9km WNW of The Geysers, California",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454680325524,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588871,Feature
"[-153.1617, 60.8153, 172.3]",Point,ak12700024,,1.0,12700024,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12700024.geojson,,0.0,,",ak12700024,",3.2,ml,,ak,,"43km NNW of Redoubt Volcano, Alaska",0.72,158,",ak,",automatic,1454671689000,"M 3.2 - 43km NNW of Redoubt Volcano, Alaska",0,earthquake,",dyfi,general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1454674930320,http://earthquake.usgs.gov/earthquakes/eventpage/ak12700024,Feature
"[-116.8268, 35.991, 33.3]",Point,nn00530075,,,00530075,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00530075.geojson,0.171,,125.16,",nn00530075,",0.5,ml,,nn,5.0,"57km ENE of Searles Valley, California",,4,",nn,",automatic,1454671442190,"M 0.5 - 57km ENE of Searles Valley, California",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454671513521,http://earthquake.usgs.gov/earthquakes/eventpage/nn00530075,Feature
"[-116.1706667, 33.7413333, 0.87]",Point,ci37520688,,2.3,37520688,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci37520688.geojson,0.06966,3.0,76.0,",ci37520688,",1.94,ml,,ci,51.0,"5km ENE of Indio, California",0.22,59,",ci,",automatic,1454671408080,"M 1.9 - 5km ENE of Indio, California",0,earthquake,",dyfi,focal-mechanism,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,tectonic-summary,",-480,1454684631807,http://earthquake.usgs.gov/earthquakes/eventpage/ci37520688,Feature
"[-151.3343, 60.8292, 72.1]",Point,ak12698501,,,12698501,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12698501.geojson,,,,",ak12698501,",2.3,ml,,ak,,"15km N of Nikiski, Alaska",0.66,81,",ak,",automatic,1454671142000,"M 2.3 - 15km N of Nikiski, Alaska",0,earthquake,",general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1454673311066,http://earthquake.usgs.gov/earthquakes/eventpage/ak12698501,Feature
"[-118.6158333, 35.2676667, 5.2]",Point,ci37520672,,,37520672,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci37520672.geojson,0.06999,,126.0,",ci37520672,",1.22,ml,,ci,20.0,"20km ENE of Arvin, California",0.18,23,",ci,",automatic,1454671054910,"M 1.2 - 20km ENE of Arvin, California",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454671281420,http://earthquake.usgs.gov/earthquakes/eventpage/ci37520672,Feature
"[-116.1705, 33.7421667, 1.18]",Point,ci37520664,,,37520664,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci37520664.geojson,0.06909,,67.0,",ci37520664,",1.3,ml,,ci,34.0,"5km ENE of Indio, California",0.25,26,",ci,",automatic,1454669887370,"M 1.3 - 5km ENE of Indio, California",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,tectonic-summary,",-480,1454670126538,http://earthquake.usgs.gov/earthquakes/eventpage/ci37520664,Feature
"[-116.1851667, 33.7525, 2.96]",Point,ci37520656,,,37520656,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci37520656.geojson,0.05355,,121.0,",ci37520656,",0.83,ml,,ci,16.0,"4km NE of Indio, California",0.24,11,",ci,",automatic,1454669689200,"M 0.8 - 4km NE of Indio, California",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,tectonic-summary,",-480,1454669927070,http://earthquake.usgs.gov/earthquakes/eventpage/ci37520656,Feature
"[-116.1635, 33.7423333, 3.19]",Point,ci37520648,,,37520648,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci37520648.geojson,0.06787,,76.0,",ci37520648,",1.13,ml,,ci,41.0,"5km ENE of Indio, California",0.2,20,",ci,",reviewed,1454669651570,"M 1.1 - 5km ENE of Indio, California",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,tectonic-summary,",-480,1454686438955,http://earthquake.usgs.gov/earthquakes/eventpage/ci37520648,Feature
"[-122.7783356, 38.8279991, -0.95]",Point,nc72588861,,,72588861,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588861.geojson,0.007026,,63.0,",nc72588861,",1.13,md,,nc,16.0,"4km W of Cobb, California",0.11,20,",nc,",automatic,1454669204650,"M 1.1 - 4km W of Cobb, California",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454677747445,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588861,Feature
"[-73.7512, -36.1344, 12.9]",Point,us20004y11,,1.0,20004y11,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us20004y11.geojson,1.86,0.0,164.0,",us20004y11,",4.5,mb,,us,,"86km NW of Talcahuano, Chile",0.75,312,",us,",reviewed,1454669080050,"M 4.5 - 86km NW of Talcahuano, Chile",0,earthquake,",cap,dyfi,geoserve,nearby-cities,origin,phase-data,tectonic-summary,",-300,1454672228300,http://earthquake.usgs.gov/earthquakes/eventpage/us20004y11,Feature
"[-122.8133316, 38.8100014, 2.07]",Point,nc72588856,,1.0,72588856,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588856.geojson,0.01243,0.0,97.0,",nc72588856,",1.3,md,,nc,23.0,"6km NW of The Geysers, California",0.03,26,",nc,",automatic,1454667931300,"M 1.3 - 6km NW of The Geysers, California",0,earthquake,",dyfi,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454676124373,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588856,Feature
"[-149.455, 62.6082, 0]",Point,ak12698497,,,12698497,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12698497.geojson,,,,",ak12698497,",1.9,ml,,ak,,"46km NE of Talkeetna, Alaska",0.56,56,",ak,",automatic,1454667663000,"M 1.9 - 46km NE of Talkeetna, Alaska",0,earthquake,",general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1454669506078,http://earthquake.usgs.gov/earthquakes/eventpage/ak12698497,Feature
"[-116.1641667, 33.7463333, 2.8]",Point,ci37520640,,,37520640,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci37520640.geojson,0.06594,,57.0,",ci37520640,",1.59,ml,,ci,56.0,"6km ENE of Indio, California",0.19,39,",ci,",reviewed,1454667400930,"M 1.6 - 6km ENE of Indio, California",0,earthquake,",cap,focal-mechanism,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,tectonic-summary,",-480,1454685978690,http://earthquake.usgs.gov/earthquakes/eventpage/ci37520640,Feature
"[-146.6089, 63.7982, 0]",Point,ak12698493,,,12698493,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12698493.geojson,,,,",ak12698493,",1.8,ml,,ak,,"50km WSW of Delta Junction, Alaska",0.61,50,",ak,",automatic,1454666599000,"M 1.8 - 50km WSW of Delta Junction, Alaska",0,earthquake,",general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1454669504811,http://earthquake.usgs.gov/earthquakes/eventpage/ak12698493,Feature
"[-122.8554993, 38.8258324, 2.23]",Point,nc72588851,,1.0,72588851,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588851.geojson,0.002019,0.0,63.0,",nc72588851,",1.17,md,,nc,22.0,"10km WNW of The Geysers, California",0.03,21,",nc,",automatic,1454665377810,"M 1.2 - 10km WNW of The Geysers, California",0,earthquake,",dyfi,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454674506334,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588851,Feature
"[-119.9431, 39.5612, 6.2]",Point,nn00530072,,,00530072,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00530072.geojson,0.049,,201.97,",nn00530072,",0.3,ml,,nn,5.0,"5km NNW of Mogul, Nevada",0.1383,1,",nn,",reviewed,1454665214076,"M 0.3 - 5km NNW of Mogul, Nevada",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454668851091,http://earthquake.usgs.gov/earthquakes/eventpage/nn00530072,Feature
"[-155.2266693, 19.3794994, 3.29]",Point,hv61170151,,,61170151,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/hv61170151.geojson,0.01198,,45.0,",hv61170151,",2.45,ml,,hv,44.0,"5km SSE of Volcano, Hawaii",0.26,92,",hv,",automatic,1454664617160,"M 2.5 - 5km SSE of Volcano, Hawaii",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,",-600,1454664960650,http://earthquake.usgs.gov/earthquakes/eventpage/hv61170151,Feature
"[-122.7761688, 38.8341675, 1.49]",Point,nc72588846,,1.0,72588846,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588846.geojson,0.006124,0.0,58.0,",nc72588846,",1.32,md,,nc,25.0,"4km WNW of Cobb, California",0.02,27,",nc,",automatic,1454664484860,"M 1.3 - 4km WNW of Cobb, California",0,earthquake,",dyfi,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454672823263,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588846,Feature
"[-118.4967, 38.5198, 6.9]",Point,nn00530067,,,00530067,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00530067.geojson,0.11,,168.14,",nn00530067,",-0.2,ml,,nn,5.0,"11km E of Hawthorne, Nevada",0.1088,1,",nn,",reviewed,1454663767266,"M -0.2 - 11km E of Hawthorne, Nevada",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454668660127,http://earthquake.usgs.gov/earthquakes/eventpage/nn00530067,Feature
"[-118.6746, 37.9774, 13.5]",Point,nn00530066,,,00530066,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00530066.geojson,0.12,,138.21,",nn00530066,",0.9,ml,,nn,11.0,"44km NE of Mammoth Lakes, California",0.1493,12,",nn,",reviewed,1454662403904,"M 0.9 - 44km NE of Mammoth Lakes, California",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454668472266,http://earthquake.usgs.gov/earthquakes/eventpage/nn00530066,Feature
"[-153.3744, 59.6844, 109.4]",Point,ak12696955,,1.0,12696955,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12696955.geojson,,0.0,,",ak12696955,",3.6,ml,,ak,,"87km W of Anchor Point, Alaska",0.79,199,",ak,",automatic,1454662132000,"M 3.6 - 87km W of Anchor Point, Alaska",0,earthquake,",dyfi,general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1454665555776,http://earthquake.usgs.gov/earthquakes/eventpage/ak12696955,Feature
"[-118.49, 38.5468, 11.4]",Point,nn00530065,,1.0,00530065,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00530065.geojson,0.085,0.0,160.48,",nn00530065,",0.0,ml,,nn,5.0,"11km ENE of Hawthorne, Nevada",0.0765,0,",nn,",reviewed,1454661852933,"M 0.0 - 11km ENE of Hawthorne, Nevada",0,earthquake,",cap,dyfi,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454668312156,http://earthquake.usgs.gov/earthquakes/eventpage/nn00530065,Feature
"[-120.1402, 39.5798, 6.2]",Point,nn00530064,,,00530064,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00530064.geojson,0.093,,174.52,",nn00530064,",0.5,ml,,nn,10.0,"14km WNW of Verdi, Nevada",0.1139,4,",nn,",reviewed,1454661729045,"M 0.5 - 14km WNW of Verdi, Nevada",0,earthquake,",cap,general-link,general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454668088966,http://earthquake.usgs.gov/earthquakes/eventpage/nn00530064,Feature
"[-98.6979, 36.4657, 5]",Point,us20004y0i,,2.2,20004y0i,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us20004y0i.geojson,0.242,1.0,108.0,",us20004y0i,",2.6,mb_lg,,us,,"29km NW of Fairview, Oklahoma",0.36,104,",us,",reviewed,1454659737070,"M 2.6 - 29km NW of Fairview, Oklahoma",0,earthquake,",cap,dyfi,general-link,geoserve,nearby-cities,origin,phase-data,tectonic-summary,",-360,1454662430940,http://earthquake.usgs.gov/earthquakes/eventpage/us20004y0i,Feature
"[-146.9442, 61.8547, 30.5]",Point,ak12695444,,,12695444,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12695444.geojson,,,,",ak12695444,",2.1,ml,,ak,,"78km WSW of Glennallen, Alaska",0.9,68,",ak,",automatic,1454659184000,"M 2.1 - 78km WSW of Glennallen, Alaska",0,earthquake,",general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1454661838722,http://earthquake.usgs.gov/earthquakes/eventpage/ak12695444,Feature
"[-122.2271652, 38.0779991, 10.64]",Point,nc72588791,,,72588791,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588791.geojson,0.05769,,103.0,",nc72588791,",1.06,md,,nc,7.0,"3km SE of Vallejo, California",0.02,17,",nc,",automatic,1454658747070,"M 1.1 - 3km SE of Vallejo, California",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454659864768,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588791,Feature
"[-122.8219986, 38.8071671, 4.4]",Point,nc72588786,,,72588786,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588786.geojson,0.005861,,116.0,",nc72588786,",0.85,md,,nc,10.0,"6km WNW of The Geysers, California",0.08,11,",nc,",automatic,1454658248670,"M 0.9 - 6km WNW of The Geysers, California",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454659264733,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588786,Feature
"[-116.508, 33.4851667, 9.98]",Point,ci37520624,,,37520624,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci37520624.geojson,0.07466,,113.0,",ci37520624,",0.46,ml,,ci,14.0,"17km ESE of Anza, California",0.13,3,",ci,",reviewed,1454657040860,"M 0.5 - 17km ESE of Anza, California",0,earthquake,",cap,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454681943347,http://earthquake.usgs.gov/earthquakes/eventpage/ci37520624,Feature
"[-67.4469, -20.9542, 215.6]",Point,us20004y08,,,20004y08,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us20004y08.geojson,1.792,,65.0,",us20004y08,",4.5,mb,,us,,"84km SW of Uyuni, Bolivia",0.53,312,",us,",reviewed,1454655907590,"M 4.5 - 84km SW of Uyuni, Bolivia",0,earthquake,",cap,geoserve,nearby-cities,origin,phase-data,tectonic-summary,",-240,1454684872089,http://earthquake.usgs.gov/earthquakes/eventpage/us20004y08,Feature
